objectid,title,creator,description,capturedate,latitude,longitude,subject,filetype,language,filename,filesize,format,measurement,uploaddate,rights,rightsstatement,alttext
rvphotos001,Accidental First Date Outfit,"Rochford-Volk, Nolan","This object is a photograph showing Nolan Rochford-Volk in his college bedroom wearing a sweater and khakis before an event on October 22, 2022. The photo is taken in the mirror, and the background of the image shows a desk, desk chair, dresser, the corner of his bed, and closet doors. This is a recreation of the outfit Nolan wore on their accidental first date, and it was recreated for this event accidentally, as well. ",2022-10-22,42.515426,-92.447251,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image; stillimage,eng,001_2022_CedarFalls.jpg,2.7MB,image/jpg,3024x4032,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,This is a photograph of Nolan Rochford-Volk in his college bedroom wearing a blue sweater and tan khakis.
rvphotos002,First Photo of Him,"Rochford-Volk, Nolan","This object is a photograph of Jake Rochford-Volk on his and Nolan's third date. He is wearing a button-up, necklace, bracelet, watch, and ring with a cladagh. This is the first photo Nolan sent of Jake to his family.",2022-10-28,42.536753,-92.445347,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image; stillimage,eng,002_2022_CedarFalls.jpg,2.1MB,image/jpg,3024x4032,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"This is a photograph of Jake Rochford-Volk on his and Nolan's third date at a restaurant. He is wearing a button-up, necklace, bracelet, watch, and ring with a cladagh. "
rvphotos003,First Photo Together,"Rochford-Volk, Nolan","This object is the first photograph Nolan and Jake took together to send to Jake's family. This photo was taken just a few days after Nolan had to move in suddenly due to a roommate conflict. Nolan is wearing a mint green seatshirt and Jake is a wearing a red t-shirt with the text reading ""University of Northern Iowa"" with a vintage UNI logo.",2022-11-04,42.520509,-92.456120,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image; stillimage,eng,003_2022_CedarFalls.jpg,4.3MB,image/jpg,3840x2160,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"This is a photograph of Nolan and Jake. Nolan is wearing a mint green seatshirt and Jake is a wearing a red t-shirt with the text reading ""University of Northern Iowa"" with a vintage UNI logo. They are sitting on a couch with their kitchen in the background. "
rvphotos004,First Trip to the City (Alone),"Rochford-Volk, Nolan","This object is a photograph of Jake and Nolan on a trip to Chicago. Following a previous trip in March 2023 with Jake's mother to Chicago, Nolan and Jake ventured into the city on their own, visiting landmarks such as Cloud Gate. Nolan is wearing an orange Nike crewneck and Jake is wearing a gray University of Northern Iowa crewneck.",2023-05-20,41.882644,-87.623263,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image; stillimage,eng,004_2023_Chicago.jpg,3.2MB,image/jpg,4032x3024,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,This is a photograph of Nolan and Jake in front of Cloud Gate in Chicago. Nolan is wearing an orange Nike crewneck and Jake is wearing a gray University of Northern Iowa crewneck.
rvphotos005,Banana Cream Pie Gone Wrong,"Rochford-Volk, Nolan","This object is a photograph of a banana cream pie upside down in a casserole dish. As a surprise, Jake made Nolan his favorite dessert--a banana cream pie. However, Jake made the filling with oatmilk, which didn't sit correctly. As a result, the whip cream collapsed into the filling, and Jake saved the dessert by putting it in a blue casserole dish.",2023-07-19,42.520509,-92.456120,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image; stillimage,eng,005_2023_CedarFalls.jpg,2.5MB,image/jpg,3024x4032,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,This is a photograph of a banana cream pie upside down in a casserole dish.
rvphotos006,Banana Cream Pie Corrected (Sort of),"Rochford-Volk, Nolan",This object is a photograph that shows an upside down banana cream pie covered in whip cream. ,2023-07-19,42.520509,-92.456120,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image; stillimage,eng,006_2023_CedarFalls.jpg,3.2MB,image/jpg,3024x4032,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,This is a photograph of a banana cream pie upside down in a casserole dish covered in whip cream.
rvphotos007,Trip to Lake Geneva ,"Rochford-Volk, Nolan","This object is a photograph of Jake Rochford-Volk at The Abbey Resort in Fontana-on-Lake-Geneva, Wisconsin. Jake is wearing a gray UNI half-zip and a white Adidas baseball cap and is eating a chicken wrap with sweet potato fries. This was taken on a family vacation where Nolan met Jake's siblings for the first time.",2023-09-08,42.548197,-88.575463,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image; stillimage,eng,007_2023_FontanaOnGenevaLake.jpg,2.0MB,image/jpg,3024x4032,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"This is a photograph of Jake Rochford-Volk at The Abbey Resort in Fontana-on-Lake-Geneva, Wisconsin. Jake is wearing a gray UNI half-zip and a white Adidas baseball cap and is eating a chicken wrap with sweet potato fries."
rvphotos008,First Anniversary Trip to Cedar Rock State Park,"Rochford-Volk, Jake","This object is a photograph of Cedar Rock, a Frank Lloyd Wright home at Cedar Rock State Park. To celebrate their first anniversary, Jake and Nolan visited Cedar Rock State Park in Quasqueton. Through the windows you can see the living room and piano.",2023-10-12,42.406146,-91.770408,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image;stillimage,eng,008_2023_Quasqueton.jpg,4.0MB,image/jpg,4032x2268,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"This is a photograph of Cedar Rock, a Frank Lloyd Wright home at Cedar Rock State Park, showing a large windowed living room and outdoor shrubs. This photo is taken in the rain, with rain droplets shown midair."
rvphotos009,Surprise Engagement on First Anniversary,"Thompsen, Brandi","This object is a photograph of Jake and Nolan shortly after they got engaged! They booked a first anniversary shoot, with photos to be taken at the Hearst Center for the Arts and on the University of Northern Iowa campus in Cedar Falls. Jake surprised Nolan with a proposal and a stand-in ring so that they could design a pair of rings together.",2023-10-12,42.515058,-92.448517,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image;stillimage,eng,009_2023_CedarFalls.jpg,8.0MB,image/jpg,3909x5864,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"This is a photograph of Nolan and Jake during their anniversary photo shoot. Nolan is wearing a tan flannel and blue jeans and is holding up his hand, revealing a ring. Jake is standing next to him in a green and black flannel with blue jeans. "
rvphotos010,Photo Sent to the Family Group Chat,"Rochford-Volk, Nolan","This object is a photograph taken at Montage, a fine dining restaurant in Cedar Falls. This shows Jake and Nolan's hands with each of their rings. It was the photo Nolan sent to his family to announce their engagement.",2023-10-12,42.536197,-92.445307,Gay couples--United States--Pictorial works; Love--Miscellanea; Gay men--United States--Social life and customs.,image;stillimage,eng,010_2023_CedarFalls.jpg,1.8MB,image/jpg,3024x4032,2025-04-30,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,This is a photograph of  Jake and Nolan's hands with each of their rings. 
